x,y,z,u_0,v_0,w_0,density,Neighbours
0.029816994,0.020211497,-0.118439,0.002491357336430595,0.0007585748682318892,0.001600164684477806,1056.054121497529,10.0
0.029407635,0.005099183,-0.12279435,0.000902865811811818,0.0007943178991125642,0.00375815740685921,1056.056725931348,14.0
0.029688731,0.00594731,-0.12277975,-0.002988911235898526,0.001787699454511927,0.004356994809928783,1056.0519500308915,10.0
0.023164075,0.009214286,-0.12944557,-0.0027968940968425386,0.0026066194727955238,0.004416098947030778,1056.0552615276383,11.0
0.021693436,0.016158467,-0.12897667,-0.0015804471009354007,-0.0013896804100516566,0.0006352862551051425,1056.059311062718,10.0
0.027678465,0.01738921,-0.12125394,0.0023570548549812654,0.0036923309534373037,-0.0015492745054153198,1056.0535051855907,14.0
0.031294215,0.022076311,-0.11674762,0.0003540400108756539,-0.0025074676029210345,0.0017697335495800166,1056.0627769079563,10.0
0.02472209,0.021376023,-0.1238221,-0.0008171520030852882,-6.509809158663372e-05,0.0009819681701492221,1056.0566103794065,10.0
0.030821173,0.009380057,-0.11984196,-0.00013669354976150337,0.0012216397677242638,0.0022057335193517193,1056.0553284750931,10.0
0.029603539,0.019386357,-0.11932003,0.004357839356000875,0.002375495115719097,0.0007857627763688242,1056.0483764249675,13.0
0.020503309,0.014992239,-0.13055402,-0.00025633697795880646,-0.0013333251030179267,0.00196520615306661,1056.0561065748395,12.0
0.032906648,0.012272091,-0.11778275,0.0010853996017124766,0.0012391441987663408,0.001442309316608362,1056.051273922463,11.0
0.028882625,0.008358086,-0.12308941,-0.003850131927165832,0.002925509147614625,0.0047131380384081625,1056.0538213094794,14.0
0.027114548,0.02280416,-0.12131913,-0.0024859646946702144,-0.0015502195635444984,0.0008642437334088846,1056.0703942360005,11.0
0.027984546,0.016179996,-0.12230805,0.0019026655502004624,0.004665671339143651,-0.0008604774768306475,1056.0542266891932,15.0
0.031001432,0.006707582,-0.12041288,-0.0009141309793162242,0.0002167605214134141,0.001964697009858061,1056.0662756618378,14.0
0.032671221,0.016942658,-0.11612969,0.0023072098958565267,0.002310219074288516,0.0001400151048729952,1056.0531035354911,10.0
0.02440723,0.009545591,-0.1276949,-0.0031111602054457355,0.0032148265754333824,0.003857295211937174,1056.0554119685773,11.0
0.020317417,0.019667227,-0.12961705,-0.003504734791337401,-0.003010897087816333,0.0007989196966048534,1056.052098084775,10.0
0.025194027,0.011489584,-0.12612636,-0.0016414528263330901,0.005397991154967069,0.0020190506198589932,1056.056884425822,11.0
0.03000173,0.013719932,-0.12034873,0.001408123259034378,0.007007253446179876,0.0002268759217621658,1056.0596704737302,10.0
0.031304151,0.011443666,-0.11901606,0.00112920081395325,0.00309746997148168,0.002057825452373708,1056.0719625553804,12.0
0.032896634,0.013788686,-0.1169451,0.0031851088795672895,0.0002875166539828765,-8.764029792242515e-05,1056.0532504770204,12.0
0.023184272,0.021358749,-0.12602733,-0.0018559134402661008,3.811033178110813e-05,0.003283271022129125,1056.0657238139156,10.0
0.031400565,0.013605445,-0.11820426,0.002812561617661406,0.0040783107221931385,-0.00030703361764192715,1056.0830718373695,12.0
0.020333037,0.008231515,-0.13283975,-0.0043923764633769305,-0.0014183636175536364,0.00682458992193547,1056.0725655677604,11.0
0.022558849,0.021389395,-0.12687904,-0.0021964002117764577,-0.001691225250742646,0.0028244439613012338,1056.0488555312288,10.0
0.021607267,0.013042889,-0.13032565,0.00046298186624392723,0.0012043275082327563,0.0017018177703666093,1056.057960847551,10.0
0.030749269,0.020642653,-0.11689259,-0.00012353439297937835,-0.00021756933565599703,0.0015023474791593825,1056.049170065288,12.0
0.019468129,0.015866539,-0.13189533,-0.00041678736836257813,-0.0013475762143560657,0.0023681331720766916,1056.056809425439,12.0
0.020835007,0.020509928,-0.12858585,-0.0027454669416020114,-0.0018159620126483587,0.0010963860563410902,1056.0665077633212,11.0
0.030747192,0.006781071,-0.12116157,-0.001416135515816607,0.001354773786846629,0.00163896905102587,1056.063924821165,11.0
0.029252591,0.01850147,-0.11989192,0.004687460250262755,0.0031213262390257794,-0.0004075203058756868,1056.05475914997,11.0
0.031486955,0.009172628,-0.11933511,-0.0007697244580603151,-0.0005449560671862495,0.003065137544835235,1056.0602189662784,13.0
0.028850339,0.01919361,-0.11965916,0.004372421043854974,0.0023963347742751895,-0.00021923333664133462,1056.053921772565,10.0
0.027857857,0.004655183,-0.12513638,-0.00030773176449700753,-0.0010753219946564396,0.004969884765513908,1056.0392754161671,11.0
0.028424403,0.011871291,-0.12280243,-0.002504496252698515,0.005402151944344494,0.002978489230085811,1056.0586679123371,14.0
0.030225471,0.018175228,-0.11817162,0.003489982247834256,0.0034558701903440003,0.0006613631966111062,1056.0543303288816,12.0
0.021713052,0.013084869,-0.12960932,0.00027062336325419517,0.0015095109965151438,0.0016263930708665096,1056.0549241413803,10.0
0.028374854,0.006085574,-0.12422276,-0.002693303857662477,-0.0007589755056057819,0.0059768947210241214,1056.0676906242331,11.0
0.028040368,0.019107869,-0.12085681,0.002925913068236884,0.0015014583200356124,-0.0007087123004116712,1056.0559351471834,10.0
0.026376341,0.005294539,-0.12674764,-0.0035590662600091354,-0.0011718201823842772,0.005744186060640867,1056.0602166120934,11.0
0.024328256,0.019862076,-0.12505864,0.00014896900018613164,-0.0007197422976494332,0.00030597692534225954,1056.0621665546535,11.0
0.030908894,0.006248046,-0.12142967,-0.0013410538129227277,0.0002504038693862703,0.002162090284180317,1056.0678452154739,14.0
0.030087532,0.011925155,-0.1204425,0.00039627086084824273,0.004781511708065274,0.0025399173018687293,1056.0599347683994,10.0
0.026938006,0.015273085,-0.12354089,0.0014963768917533506,0.00475012135228036,-0.0014734334945546142,1056.057598914437,11.0
0.025569133,0.014718177,-0.12516232,0.0006332441063104115,0.005851913179048269,-0.001250236223006634,1056.0596520747367,10.0
0.02069607,0.01779558,-0.12976493,-0.003407555543302746,-0.00279262118437516,0.0019593374668697805,1056.0596364479063,11.0
0.018279778,0.015633127,-0.13324584,-0.001991566626943026,-0.0046550243683830305,0.004170913259594778,1056.0457460439798,14.0
0.021444431,0.020723026,-0.12814857,-0.0033106519634357504,-0.002302253251501294,0.0019824717995432467,1056.0476054931498,10.0
0.019382857,0.020503135,-0.13031666,-0.0012658554714131739,-0.0017941491350630023,-0.001708250347126415,1056.0736944972869,10.0
0.030580547,0.016904972,-0.11861795,0.005680241672462739,0.004271892459952881,-0.0006346122754876261,1056.0537921726923,12.0
0.032279786,0.01399722,-0.11788232,0.0034170296238348863,0.0036978868731127094,-7.771428483816859e-05,1056.0564829070963,10.0
0.019875754,0.020871671,-0.13010463,-0.0010835574945985019,-0.0013210213531167365,-0.0010324175894918003,1056.0885831538853,10.0
0.025988759,0.014279186,-0.12432408,0.0005732198087390187,0.005533502537573936,-0.00020968181067437428,1056.0618412489312,12.0
0.028004715,0.007706817,-0.12400458,-0.0037984923199415907,0.00045559254955130317,0.005787824510573526,1056.0517483037574,10.0
0.021575648,0.014694806,-0.12945037,0.0007106207061848911,0.00021209743232623467,0.0002142419331901531,1056.0546937452611,12.0
