x,y,z,us_mag_0,noise_values,us_mag_noisy_0
0.066920772,-0.009910784,-0.15808982,-0.095591402,-0.009685604,-0.105277007
0.070782505,-0.00905442,-0.15558502,-0.099361501,0.020025481,-0.079336021
0.076634221,-0.000553307,-0.14612488,-0.112392932,0.014046936,-0.098345996
0.067829557,0.006693373,-0.15686901,-0.135808798,0.001790705,-0.134018094
0.036567301,0.039948955,-0.13851076,-0.15194476,0.003565436,-0.148379324
0.049246378,0.014102794,-0.13586029,-0.327528695,0.010649779,-0.316878916
0.030350463,0.029248323,-0.13751887,-0.538715772,-0.008819322,-0.547535094
0.021139754,0.029525064,-0.14377889,-0.225664079,-0.006910139,-0.232574218
0.059542827,-0.001526947,-0.15358476,-0.163881044,-0.010958451,-0.174839494
0.064438619,-0.00191863,-0.15309608,-0.150157294,0.006561166,-0.143596128
0.051867064,0.000854809,-0.14487846,-0.262129879,0.00565891,-0.256470969
0.034505449,0.027160397,-0.15037923,-0.205512102,0.005926118,-0.199585984
0.060839731,-0.004649884,-0.15196827,-0.146240215,-0.017363858,-0.163604073
0.054265276,0.003784338,-0.15228517,-0.221410262,0.005310448,-0.216099814
0.02854206,0.017549479,-0.14460915,-0.132140143,0.014873814,-0.117266329
0.065162525,0.009772585,-0.14199752,-0.176202792,-0.022032203,-0.198234995
0.046990823,0.029214166,-0.14533988,-0.195663901,0.024822116,-0.170841785
0.081878632,-0.00783278,-0.15146819,-0.090346965,0.004018058,-0.086328907
