x,y,z,us_mag_0,noise_values,us_mag_noisy
0.010211802,0.017374206,0.00777341,-0.133277028,-0.000440787,-0.133717815
0.012576187,0.017979868,0.006383082,-0.159699185,0.002031909,-0.157667276
0.01329286,0.011990147,0.009328894,0.025804216,-0.003820636,0.02198358
0.012680904,0.012574005,0.007916433,0.057811629,0.0021519,0.059963529
0.012784383,0.011893197,0.008272341,0.035019951,-0.000506637,0.034513314
0.011710604,0.012484997,0.007237776,0.042444233,0.002927501,0.045371734
0.010595771,0.013155145,0.00684282,-0.063971583,0.000794249,-0.063177334
0.012269349,0.012489528,0.006715539,0.057051565,0.000461155,0.05751272
0.011565013,0.012023713,0.006722345,0.055382142,-0.001086123,0.054296019
0.012039401,0.011541956,0.009165482,0.063234121,-0.002007158,0.061226963
0.011773502,0.013160195,0.007527356,0.04881113,0.005794463,0.054605593
0.005752428,0.013996991,0.008587316,0.010837532,0.004349783,0.015187315
0.006365908,0.014378824,0.008837209,0.012509121,-0.000928734,0.011580387
0.007670562,0.013342961,0.009043441,-0.196792817,-0.000569451,-0.197362268
0.009266647,0.013629696,0.008546767,0.017995958,-0.000106225,0.017889733
0.005097873,0.013008993,0.008755475,0.009526006,0.003221502,0.012747508
0.005820644,0.014627878,0.008116879,0.009883774,0.002429017,0.012312791
0.006143444,0.011423633,0.008423394,-0.090285935,0.003686775,-0.08659916
0.006705492,0.015831957,0.007164404,0.009343535,0.002327947,0.011671482
0.007635461,0.015249512,0.00833122,-0.159047903,-0.000891337,-0.15993924
0.007621244,0.016340047,0.007609211,-0.030014645,0.003500487,-0.026514158
0.007554725,0.015646327,0.008733441,-0.03602293,0.003333908,-0.032689022
0.007367176,0.01564192,0.006083619,-0.011940576,4.23E-05,-0.011898271
0.008679289,0.01572532,0.008338477,-0.177999949,0.003975822,-0.174024127
0.006928327,0.014720277,0.006095332,-0.047115061,0.000101565,-0.047013496
0.014216712,0.018485796,0.00790722,-0.090097763,0.000423894,-0.089673869
0.013869611,0.018342923,0.008195854,-0.089666892,-0.000498566,-0.090165458
0.014103926,0.018226786,0.008422411,-0.07762672,-0.001291353,-0.078918073
0.014076266,0.01872411,0.008355779,-0.087698543,0.000193403,-0.08750514
0.014161344,0.018122573,0.008750526,-0.070727586,0.00076508,-0.069962506
0.013872368,0.019034876,0.008651347,-0.09658717,-0.003421046,-0.100008216
0.013921975,0.018914042,0.008111474,-0.10267382,-0.002143725,-0.104817545
0.013752483,0.018991061,0.007819591,-0.116995134,-0.001539879,-0.118535013
0.013303826,0.017954769,0.007938675,-0.102103902,-0.005168066,-0.107271968
0.014158587,0.018137196,0.009043937,0.023219943,0.002814444,0.026034387
0.01318508,0.019820452,0.007476404,-0.156745186,0.002596388,-0.154148798
0.013281338,0.02003927,0.007817918,0.014191597,-0.002127684,0.012063913
0.013317822,0.019667527,0.008114402,-0.085193595,-0.002100954,-0.087294549
0.013582143,0.019664487,0.007707012,-0.153604781,0.002093761,-0.15151102
0.013405937,0.019880729,0.008549693,0.014288002,-0.003342686,0.010945316
0.012733108,0.019580323,0.008414855,0.022505584,0.003635312,0.026140896
0.013008693,0.019125782,0.008782961,0.020057212,0.004213662,0.024270874
0.013543463,0.019217219,0.009117519,0.040539502,0.00350796,0.044047462
0.013206841,0.018547814,0.009200386,0.070540392,0.002326547,0.072866939
0.014896178,0.017425202,0.0072682,-0.106183682,0.000352615,-0.105831067
0.014248768,0.017506268,0.007711854,-0.099389817,9.03E-05,-0.099299525
0.01435515,0.017546568,0.007886204,-0.094102346,-0.004830008,-0.098932354
0.014274586,0.017518926,0.008075952,-0.091619845,0.000584727,-0.091035118
0.014988137,0.016900508,0.007830353,-0.123303932,0.001025514,-0.122278418
0.014740243,0.017186236,0.008241188,-0.115105646,-0.000562849,-0.115668495
0.015052416,0.017409101,0.006703912,-0.117358645,-0.000891093,-0.118249738
0.015126595,0.017081011,0.006798506,-0.120103517,0.000240365,-0.119863152
0.015111035,0.016938876,0.007210421,-0.131876093,-0.005693158,-0.137569251
0.014820596,0.016396303,0.008192138,0.052175394,-0.000756824,0.05141857
0.009083836,0.008639798,0.010336251,0.010136135,-0.000128577,0.010007558
0.007996262,0.008880525,0.009954179,-0.010635825,-0.001074189,-0.011710014
0.010516679,0.009628758,0.009727102,0.013675869,0.001588039,0.015263908
0.007614986,0.008173248,0.009409556,-0.010596857,-0.001883177,-0.012480034
0.008398912,0.009773304,0.009085418,-0.020797678,0.001878088,-0.01891959
0.010335844,0.009863972,0.009318334,0.030652876,-0.000728494,0.029924382
0.003885125,0.008023638,0.007873021,-0.018610868,-0.000494868,-0.019105736
0.003299187,0.008664526,0.006463884,0.00257607,0.00776144,0.01033751
0.003465947,0.006896673,0.008729134,-0.009077174,-0.006495552,-0.015572726
0.004374494,0.008108571,0.00879278,-0.028277403,-0.004704232,-0.032981635
